Dialogue,Emotions
Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey!Joey! Joey!!,"Anger, Surprise, Frustration"
"(joining in, in his sleep) Joey. Joey. Joey. Joey! Joey!!","Excitement, Anticipation"
"Oh. Oh, did-did-did I wake you?","Surprise, Confusion, Frustration"
"Gunther, can I get another cup of coffee, please? (Gunther starts topour him another cup.) So uh, what do you do when you’re not working here?","Contentment, Neutral"
You don’t need to fill these silences.,"Confidence, Neutral, Frustration"
"Oh, okay, thanks. (He goes back to the couch and rejoins Monica, Joey,and Phoebe.)","Happiness, Contentment, Neutral"
"Chandler, that’s like your fourth cup of coffee!","Neutral, Disgust, Frustration"
"Well, I am drinking lots of cups of coffee because I’m exhausted!Because Joey started snoring!","Anger, Frustration"
He’s in a different room! He’s really that loud?,"Surprise, Confusion, Frustration"
"(proudly) Oh, you should here me.","Confidence, Excitement"
"It’s not something to be proud of, okay? You have to go to asleep clinic!","Disgust, Confusion, Frustration"
"Look, I told ya, I’m not going to any clinic! I don’t have aproblem, you’re the one with the problem! You should go to a Quit being a babyand leave me alone"" clinic!""","Anger, Frustration"
They don’t have those.,"Neutral, Confusion, Frustration"
"Yeah, they do! Quit being a baby and leave me alone! There, you’vejust had your first class!","Confidence, Anger, Frustration"
"Y’know I used to go out with this guy that was a really lightsleeper, and whenever I started to snore, he would just roll me over…","Contentment, Nostalgia"
"Ohhh, yeah!","Happiness, Excitement, Optimism"
He would just roll me over and I would stop snoring.,"Happiness, Contentment, Neutral"
"Next time you snore, I’m rolling ya over!","Confidence, Frustration"
"I gotta do what I gotta do, you gotta do what you gotta do, you just doit.","Confidence, Frustration"
(entering) Hey guys!,"Happiness, Confidence, Excitement"
"Hey, all right!","Happiness, Excitement, Optimism"
Hey!,"Happiness, Surprise, Excitement"
"Oh, the Olympics.","Excitement, Anticipation, Optimism"
Have you guys picked a date yet?,"Excitement, Anticipation, Optimism"
"Oh no, not yet.","Neutral, Sadness, Anticipation"
I,"Neutral, Confusion, Frustration"
"Oh. Thanks. Uh, has anyone seen Rach?","Neutral, Confusion, Frustration"
"Ugh, she’s upstairs","Neutral, Disgust, Frustration"
"Yeah—oh! Hey listen umm, Emily found this wedding dress inLondon…","Surprise, Excitement, Anticipation"
Already?!,"Surprise, Excitement, Anticipation"
"Yeah, but it didn’t fit. Well, luckily there’s a store here thathas one left in her size, but I’m the groom, I’m not supposed to see thedress…","Neutral, Confusion, Frustration"
I’ll pick it up for you!,"Happiness, Confidence, Excitement"
Thank you.,"Happiness, Contentment"
Okay.,"Contentment, Confidence, Neutral"
"Oh, she’s got you running errands, y’know, picking upwedding dresses… (Laughs and makes like Indiana Jones and his whip) Wah-pah!","Happiness, Excitement"
What’s wah-pah?,"Anticipation, Confusion"
"Y’know, whipped! Wah-pah!","Confidence, Surprise, Excitement"
That’s not whipped! Whipped is wh-tcssh!,"Confidence, Disgust, Frustration"
That’s what I did. Wah-pah!,"Confidence, Surprise, Excitement"
