Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pheebs whats wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
god,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
well,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whoo,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
mmhmmh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
yes little black book got numbers guys ive dated,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
oh pheebs baby thats nice know think im ok dont give one single girlfriends,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
would youre last one,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
oh first love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
red x next bob greenmores name mean,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
hey im sorry given guys black book got married although wasnt much book napkin janices phone number,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
phoebe isnt jethro tull band,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
monica,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
oh ill tell agency bidding big account,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cool,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
thats great hey cast,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
oh dont know really dont think youre right part,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
first bravo uh really dont think youre right part calls stuffy college professor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
software facilitates interbusiness networking esolutions,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
guess whos finalist,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ah well unless creepy guy hand kilt im gonna say congratulations,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oh im excited mean apparently beat hundreds applicants included five guys went graduate school im keeping score anything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
wow thats great tell grant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
well ok 25 thousand dollars get ill finally able complete field research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wait talking dewar grant,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
benjamin hobart administering grant,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
exboyfriend,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
exboyfriend gonna determine new boyfriend gets grant wow new boyfriend screwed,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ended great terms mean anything think could help know dont go dinner together introduce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
well think would help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yes absolutely ill call,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ok anything know butter anything really likes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
mmh pretty serious latex fetish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
well see dinner goes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hey wanna go see movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
well told spend day clearing stuff mike could move,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh right,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
oh well im might well help cleaning organizing happen label maker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
uh chandler want,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
yeah really,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dont like,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
well course whats like ill take minute know think youre giving easy honey think need fight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
really think,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
absolutely yes say im sorry mike cant live without,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ok ill fight ok oh wait oh realized means dont get,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
damn,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
hey guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh word casting yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
joe told youre right part,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
mean rach dont seem like professor youd buy kind ecrap,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
im sorry sounds like something im never gonna interested,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
joe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
watch dont like dont pass bosses,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
work joe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pass boss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
hes right part suggest bosses gonna think im idiot thats something learn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
tell joey watched tape liked bosses didnt way youre good guy theyre bad guys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cant believe im meet benjamin hobart ive always thought one people id invite fantasy dinner party think theres chance hell bring christie brinkley c3po,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
charlie god look absolutely stunning,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
well good hair day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good see,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
im ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
