Dialogue,Emotions
Hey! Babe! Aren’t you excited we’re going on our honeymoon?,"Happiness, Excitement, Anticipation"
Yeah I am!,"Happiness, Confidence, Excitement"
(singing),"Happiness, Excitement, Optimism"
That’s right. Get it out of your system while we’re alone.,"Contentment, Confidence, Frustration"
(entering with Phoebe) Hey!,"Happiness, Excitement, Anticipation"
Yeah! Have a great honeymoon!,"Happiness, Love, Excitement"
I’d better go pack.,"Excitement, Anticipation, Optimism"
"Oh no, I already packed. The only thing I couldn’t find though wasyour Speedo.","Neutral, Confusion, Frustration"
"A Speedo? Uh, I don’t have a Speedo. I’m gonna go pack myregular long bathing suit. (Goes into the bedroom.)","Confidence, Neutral, Frustration"
(entering) Oh good you’re still here!,"Happiness, Excitement"
Hey!,"Happiness, Surprise, Excitement"
I want to tell you to have a good honeymoon! (Hugs Monica.),"Happiness, Love, Excitement"
Thank you.,"Happiness, Contentment, Neutral"
And I also wanted you guys to know that I am telling the father today.(They all look at her expectantly) What? What? What?,"Confidence, Anticipation, Frustration"
We know its Ross!,"Confidence, Excitement, Anticipation"
How?! How do you know?,"Surprise, Confusion, Frustration"
"It was his sweater, but—Oh my God!","Fear, Surprise, Excitement"
"Oh, I so wanted Ross to know first, but I’m so relieved you guysknow.","Happiness, Excitement"
This is so great! And I’m gonna be your baby’s aunt!,"Happiness, Love, Excitement"
I know! (They hug.),"Happiness, Love, Excitement"
Me too! (Joins the hug.),"Happiness, Love, Excitement"
I’m gonna be an uncle! Come here! (He joins the hug.),"Happiness, Love, Excitement"
(breaking the hug) You’re all gonna be aunts and uncles.,"Happiness, Excitement, Anticipation"
"Yeah, but I’m the only one related by blood.","Confidence, Sadness, Longing"
Okay. Great! So now that you guys all know you can help me. Give me someadvice on how I’m gonna tell Ross!,"Confidence, Excitement, Anticipation"
"Well, what were you gonna say?","Anticipation, Confusion, Frustration"
Well I was gonna tell him that I’m-I’m gonna have the baby andhe can be as involved as he wants.,"Happiness, Confidence, Excitement"
"Well that, that sounds good.","Happiness, Contentment, Confidence"
"Yeah but how do I start? I mean, what’s-what’s the first thingthat I say? (They all pause to think.) Okay great! Thanks. (She starts to leave.)","Confusion, Frustration"
Hey! Good luck!,"Happiness, Confidence, Excitement"
"Yeah, bye.",Neutral
Bye.,Neutral
"(entering) Hey, what was that all about?","Surprise, Confusion"
"Well I guess there is no harm in telling you now, Rachel and Ross aregonna have a baby.","Happiness, Excitement, Anticipation"
(in a high pitched voice) What?! I didn’t even know that—Whydidn’t you tell me?! (Pause) Why am I talking like this?!,"Surprise, Confusion, Frustration"
I didn’t think you could keep it a secret.,"Neutral, Surprise, Frustration"
(in the high pitched voice) What?! (Normal voice) I am an excellentsecret keeper. I have kept all of our secrets.,"Confidence, Surprise, Frustration"
What secrets?,"Neutral, Confusion"
"Oh no-no Joey, I am not going to tell you because I am an excellentsecret keeper.","Confidence, Excitement, Anticipation"
(whispering to Chandler) You’ll tell me later?,Anticipation
You already know.,"Confidence, Neutral, Frustration"
"Oh, it's so romantic to send people off on their honeymoon.","Happiness, Love, Excitement"
"Y’know, Monica and Chandler are married. Ross and Rachel are having ababy. Maybe you and I should do something.","Happiness, Excitement, Optimism"
All in good time my love. All in good time. Oh shoot! I left my guitarin their apartment. Well you can let me in later.,"Contentment, Love, Anticipation"
"I don’t have a key, they took mine to give to you.","Neutral, Confusion, Frustration"
What?! They took mine to give to you!,"Anger, Surprise, Frustration"
Why would they take away our keys?,"Confusion, Frustration, Longing"
Maybe they don’t trust us.,Neutral
No that’s not it. They let me keep my key the last time they were outof town.,"Contentment, Confidence, Neutral"
You mean the time you broke the ketchup bottle and cleaned it up withMonica’s guest towels?,"Surprise, Disgust, Frustration"
"Hey, I washed those!","Anger, Confusion, Frustration"
No you didn’t.,"Confidence, Disgust, Frustration"
Yeah that didn’t sound like me.,"Neutral, Confusion, Frustration"
"Well, what am I gonna do? I really need my guitar!","Frustration, Longing, Optimism"
"Yeah, I have stuff in there too.","Contentment, Confidence, Neutral"
What stuff?,"Neutral, Confusion, Frustration"
"Monica’s chicken parm! I’ll take care of it. (He picks up thephone) Hey Mr. Treeger, it’s Joey Tribbiani. Listen, I need to get into Monica andChandler’s apartment. It’s an emergency. (Listens) Uhh, gas leak! Yeah oh, andbring garlic bread. (Hangs up.)","Confidence, Excitement, Anticipation"
(entering) Hey!,"Happiness, Surprise, Excitement"
Did Rachel find you?,"Neutral, Anticipation, Confusion"
No why?,"Neutral, Confusion, Frustration"
Oh she was looking for you.,"Happiness, Surprise, Anticipation"
"Oh well, I guess I’ll catch up with her later.","Contentment, Neutral, Optimism"
"Well, she really wanted to talk to you now.","Happiness, Excitement, Anticipation"
"Yeah, it seemed pretty important.","Confidence, Neutral"
Oh no.,"Sadness, Fear, Surprise"
What?,"Surprise, Confusion, Frustration"
I think I might know what this is about.,"Confidence, Anticipation"
Really?,"Surprise, Disgust"
"Yeah. Uh, uh we promised we weren’t gonna tell anybody this but uh,about a month ago Rachel and I slept together.","Fear, Surprise, Confusion"
(deadpan) And?,"Neutral, Confusion, Frustration"
Wow! I thought you would be a little more shocked.,"Surprise, Confusion"
Oh sorry. (Shocked) And?!,"Fear, Surprise"
"Well, we-we said we’d just do it that one time but, but now I thinkshe may wanna start things up again.","Anticipation, Confusion, Frustration"
"Yeah, I don’t think that’s what it is.","Neutral, Confusion, Frustration"
Why? What-what else could it be?,"Anticipation, Confusion, Frustration"
"Oh wow, I don’t feel well.","Sadness, Fear, Disgust"
I’m telling you. I’m telling you. That’s what it is. Nowonder she was looking at me all funny during the wedding. She didn’t say anything toyou?,"Surprise, Confusion, Frustration"
(To Joey) Maybe it’s something you ate?,"Neutral, Confusion, Frustration"
"Please, just-just, just go and talk to Rachel.","Frustration, Longing, Optimism"
"Yeah, I guess I should. (Starts to leave.) Man, y’know what I have torealize? Maybe I’m just not the type of guy women can have just one night with.Y’know, they-they always seem to want a little bit more. I should remember that. (Hepauses and then exits.)","Confusion, Frustration, Longing"
Next?,"Confidence, Neutral, Anticipation"
They’re kissing let’s just go around them.,"Surprise, Disgust, Frustration"
"Oh honey, leave them alone, they’re in love.","Contentment, Confidence, Love"
I’m in love too! But in an orderly fashion.,"Happiness, Love, Excitement"
Next?,"Confidence, Neutral, Anticipation"
(to the couple) Hi! Can you do that,"Confidence, Neutral, Anticipation"
Sorry. We didn’t hear you; we’re on our honeymoon.,"Happiness, Love, Excitement"
"Oh, let me see what I can do. (Checks the computer) There are somefirst class seats available.","Confidence, Excitement, Anticipation"
(To Chandler) Did you hear that?! They bumped them up to first classbecause they are on their honeymoon! Come on! Let’s act like we’re on ourhoneymoon.,"Happiness, Surprise, Excitement"
We,"Contentment, Confidence, Excitement"
Grab my ass!,"Happiness, Confidence, Excitement"
Next?,"Confidence, Neutral, Frustration"
"Hi, sorry. I almost didn’t hear you, because y’know I’mjust so in love with my new husband. We’re on our honeymoon.","Happiness, Love, Excitement"
"Congratulations. Okay, Mr. Bing you’ll be in 25J and Mrs.Bing you’ll be in 25K.","Happiness, Confidence, Excitement"
"Oh no, you see we’re on our honeymoon. So umm, can you do yourlittle thing and bump us up to first class?","Excitement, Anticipation, Optimism"
"I’m sorry, all our first class seats are taken. That couplegot the last two.","Neutral, Frustration"
"You see, if we’d gone around them like I said, we—Shewould’ve given us those tickets. Damnit!","Anger, Frustration"
"25J and K, any chance those aren’t together?","Anticipation, Confusion, Frustration"
I still can’t believe they took away my key. You trust me with yours.,"Sadness, Anger, Frustration"
Of course I do! And I’m gonna give it back to you as soon asthey’re done with it at the key shining place.,"Confidence, Excitement, Anticipation"
What the hell is that?,"Surprise, Disgust, Frustration"
"Whoa! Whoa! Whoa! Treeger, what are you doing?","Surprise, Confusion, Frustration"
You said there was a gas leak in here.,"Neutral, Fear, Surprise"
Well why don’t you use your key?,"Neutral, Confusion, Frustration"
"Because by the time I find it on this thing (Holds up a huge keyring with a thousand keys on it), the whole place might have exploded. If that happens atanother building that I manage, people are gonna start asking questions. (To the fireman)Come on! Hurry up.",Fear
Oh! We could have done that.,"Surprise, Optimism"
Look at that! Look at that! They’re going into the first classlounge! Do you know what they have in there?,"Surprise, Excitement, Anticipation"
No.,"Neutral, Confusion, Frustration"
Me neither! We have to get in! (She runs through the door with Chandlerin tow.),"Confidence, Excitement, Anticipation"
Just act like you belong.,"Confidence, Neutral, Frustration"
Oh my God! Oranges!,"Surprise, Excitement, Anticipation"
Shh! (To the guy behind the counter) Nice to see you again. (Theytries to walk past him.),"Confidence, Neutral, Frustration"
"Uh sir, may I see your tickets please?","Confidence, Neutral, Frustration"
"Yes, of course. (Shows him the tickets.)","Confidence, Excitement, Anticipation"
"I’m sorry, would you move your thumb? I can’t seethe seat number.",Frustration
"Oh that’s all right, I have it memorized. It’s 1A.","Happiness, Contentment, Confidence"
"(grabbing the ticket from him) Sir, this is not a first classticket. I’m sorry.","Neutral, Frustration"
Apology accepted. Excuse us. (They try to enter again.),"Neutral, Confusion, Frustration"
Sir! I’m afraid I’m gonna have to ask you to leave.,"Neutral, Fear, Frustration"
