Dialogue,Emotions
"Ok, so this is pretty much what's happened so far. Ross was in love withRachel since, you know, forever, but every time he tried to tell her, something kind ofgot in the way, like cats, and Italian guys. Finally Chandler was like forget abouther"" but when Ross was in China on his dig",Frustration
Oh my god. Oh my god. (She decides to make a break for it.) Excuse me.Move! Move! Emergency! Excuse me! (She tries climbing over a bench and falls down.),"Stress, Frustration, Overwhelm, Disappointment, Exhaustion"
(seeing her) Rach!,"Affection, Excitement"
"Oh, there you are! Hi! Oh, so, so, how was China, you? (Hits him withthe flowers.)",Excitement
"It was, it was great. Oh, what happened?","Excitement, Curiosity"
What?,Frustration
You're bleeding.,Unknown
"I am? Oh, look at that, yes I am. Enough about me, enough about me, Mr.Back from the Orient. Come on. I wanna hear everything! Everything. (Looks at Julie)","Excitement, Curiosity"
"Well, where do I start? This is Julie. Julie, this is Rachel.","Satisfaction, Affection"
"These are, these aren't for you. (to Julie) These are for you. (Loudly,thinking she can't speak English.) Welcome to our country.","Frustration, Satisfaction, Enthusiasm, Gratitude, Interest"
"(Loudly, proving she can speak English.) Thank you. I'm from New York.","Achievement, Gratitude"
"Ok, well, not a problem. We'll just use them to stop the bleeding. Ok.Baggage claim? Ok.","Boredom, Calmness"
No way!,Frustration
"I'm telling you, she went to the airport, and she's gonna go for it withRoss!",Excitement
"Oh my god. This is huge. This is bigger than huge. This is like, allright, what's bigger than huge?","Overwhelm, Excitement, Wonder"
"Um, this?",Boredom
Yes.,Frustration
"Guys, you got your hair cut.",Achievement
"Yes, yes, we did, thanks to Vidal Buffay.",Gratitude
"'Cause, you know, (in that voice) if you don't look good, we don't lookgood. I love that voice.","Love, Excitement"
"(entering, out of breath) Airport, airport. Ross, not alone, Julie, armaround her. Cramp, cramp.","Stress, Overwhelm"
"Ok, I think she's trying to tell us something. Quick, get the verbs.",Frustration
"(to Chandler) You, you, you said he liked me. (Ross and Julie enter)You, you slowpokes!",Frustration
"That's all right, Rach, we got the bags. Hi, hello. Julie, this is mysister Monica. This is Chandler.  Phoebe.  Joey, what up?","Enthusiasm, Affection, Gratitude, Interest"
What up?!,Enthusiasm
"Everyone, this is Julie.",Engagement
(out of breath) Julie.,Stress
Ohh. (Happily) Hi!,Unknown
"Hi, but I'm not here, you haven't met me. I'll make a much better firstimpression tomorrow when I don't have 20 hours of cab and plane on me.","Boredom, Exhaustion"
And bus.,"Boredom, Exhaustion"
Oh my god.,Unknown
The screaming guy?,Unknown
And the spitting?,Boredom
You gotta hear this story.,Excitement
"We're on this bus, that's easily 200 years old...","Frustration, Nostalgia, Disappointment"
200 at least.,"Achievement, Satisfaction"
...and this guy...,Frustration
"And the chicken pooped in her lap. Oh, I'm so sorry. I just gave awaythe ending, didn't I? Oh! It's just, I just heard this story in the cab, and it is all Ican think about.","Excitement, Curiosity"
"This is amazing. I mean, how, how did this happen?",Curiosity
"Well, Ross and I were in grad school together.",Contentment
