Dialogue,Emotions
"Terry, I, I, I know that I haven't worked here very long, but I waswondering, do you think it would be possible if I got a $100 advance in my salary?","Confidence, Anticipation, Frustration"
An advance?,"Excitement, Anticipation, Optimism"
"It's so that I can spend Thanksgiving with my family. See, every year wego skiing in Vail, and normally my father pays for my ticket, but I sort of started thewhole independence thing, you know, which is actually why I took this job.","Happiness, Excitement, Optimism"
"Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really,really awful.","Sadness, Anger, Frustration"
"Ok, I, I hear what you're sayin'. I'm with you. Um, but I, but I'mtrying really hard. And I think I'm doing better. I really do. Does anybody need coffee?(everyone in the place raises their hand) Oh, look at that.","Contentment, Excitement, Optimism"
"Excuse me, sir. Hi, you come in here all time. I was just wondering, doyou think there's a possibility that you could give me an advance on my tips?","Confidence, Anticipation, Frustration"
Huh?,"Surprise, Confusion, Frustration"
"Ok, ok, that's fine. Fine. Hey, I'm sorry about that spill before.(picks up the tip he leaves) Only $98.50 to go.","Neutral, Frustration"
"Hey. Ross, did you know Mom and Dad are going to Puerto Rico forThanksgiving?","Surprise, Excitement, Anticipation"
"No, they're not.","Neutral, Confusion, Frustration"
"Yes, they are. The Blymens invited them.","Contentment, Neutral, Anticipation"
You're wrong.,"Confidence, Anger, Frustration"
I am not wrong.,Confidence
You're wrong.,"Confidence, Anger, Frustration"
"No, I just talked to them.",Neutral
"(getting up, upset) I'm calling Mom.","Anger, Frustration"
"Hey, hey.","Happiness, Excitement, Anticipation"
Hey.,"Neutral, Anticipation, Confusion"
Hey.,Neutral
And this from the cry-for-help department. Are you wearing makeup?,"Surprise, Disgust"
"Yes, I am. As of today, I am officially Joey Tribbiani, actor slash model.","Confidence, Excitement, Anticipation"
"That's so funny, 'cause I was thinking you look more like JoeyTribbiani, man slash woman.","Happiness, Excitement"
What were you modeling for?,"Neutral, Confusion"
You know those posters for the city free clinic?,Neutral
"Oh, wow, so you're gonna be one of those healthy","Surprise, Disgust, Frustration"
"You know, the asthma guy was really cute.","Happiness, Contentment, Excitement"
Do you know which one you're gonna be?,"Anticipation, Confusion, Optimism"
"No, but I hear lyme disease is open, so... (crosses fingers)","Excitement, Anticipation, Optimism"
"Good luck, man. I hope you get it.","Happiness, Excitement, Optimism"
Thanks.,Neutral
"(to Monica) Well, you were right. How can they do this to us, huh? It'sThanksgiving.","Sadness, Anger, Confusion"
"Ok, I'll tell you what. How about I cook dinner at my place? I'll makeit just like Mom's.","Contentment, Excitement, Nostalgia"
Will you make the mashed potatoes with the lumps?,"Neutral, Confusion, Frustration"
"You know, they're not actually supposed to have... (Ross looks at hersheepishly) I'll work on the lumps. Joey, you're going home, right?","Confidence, Frustration"
Yeah.,"Contentment, Neutral, Confusion"
"And I assume, Chandler, you are still boycotting all the pilgrimholidays.","Neutral, Confusion, Frustration"
"Yes, every single one of them.","Confidence, Excitement, Optimism"
"Phoebe, you're gonna be with your grandma?","Neutral, Anticipation, Nostalgia"
"Yes, and her boyfriend. But we're celebrating Thanksgiving in December'cause he is lunar.","Neutral, Confusion, Frustration"
"So you're free Thursday, then.","Contentment, Neutral, Anticipation"
"Yeah. Oh, can I come?","Excitement, Anticipation, Optimism"
"Yeah. Rach, are you thinking you're gonna make it to Vail?","Confidence, Excitement, Anticipation"
"Absolutely. Shoop, shoop, shoop. Only a hundred and two dollars to go.","Happiness, Excitement, Optimism"
I thought it was $98.50.,"Neutral, Confusion, Frustration"
"Yeah, well it was. I, I broke a cup.","Sadness, Confusion, Frustration"
"Well, I'm off to Carol's.","Contentment, Neutral, Excitement"
