Dialogue,Emotions
Okay!,"Happiness, Contentment, Confidence"
"Come on, no peeking! (They are leading the gang out with there handsover their eyes.)","Happiness, Excitement, Anticipation"
Our eyes are closed and we’re about to cross the street. Verygood.,"Confidence, Fear, Anticipation"
"Okayyyyy, open up!","Confidence, Excitement, Anticipation"
What did you want to show us? Because all I can see is this,"Neutral, Confusion, Frustration"
"Yeah, it’s for our catering business!","Confidence, Excitement, Optimism"
I think I know that girl.,"Confidence, Excitement, Anticipation"
"All right, umm, we’re not gonna really keep it this way though.","Neutral, Confusion, Frustration"
No?,Neutral
"No, we’re gonna paint over the sword, and replace it with abaguette.",Excitement
Oh!,"Surprise, Excitement, Anticipation"
"And also, we don’t know what to do with this. (She turns on aswitch and the girl’s nipples light up.)","Surprise, Excitement, Confusion"
"Oh yeah, I definitely know her.","Happiness, Contentment, Confidence"
(to Phoebe) Remember that guy from cooking school I told you about thatput cilantro with everything?,"Surprise, Anticipation, Nostalgia"
"Oh sure, Cilantro Larry.","Contentment, Neutral, Surprise"
"Well, I’m gonna fill in for him as food critic for the ChelseaReporter.","Confidence, Excitement, Optimism"
"Wow, Monica! What an amazing opportunity to influence… dozens ofpeople.","Surprise, Excitement, Optimism"
"How could you say yes, what about our catering business?","Anger, Confusion, Frustration"
"Oh no-no-no, it’s only one night a week, and plus I get to take allof you out for a","Happiness, Excitement, Optimism"
Yay!!,"Happiness, Excitement, Optimism"
"Oh, in that case—(hops up and down in joy)—Yay! (Monica looksconfused) That was me hopping on board.","Excitement, Confusion"
Oh.,Neutral
"(entering) Hey, you guys! Hey, Ross, quick question for ya. Are youready to party?","Happiness, Excitement, Anticipation"
"I don’t know, I could maybe go out for a couple of beers, butthere’s this thing about bumblebees on",Unknown
"No-no, I don’t think you heard me. Are you ready to",Frustration
Nooo!! Gandolf?! Gandolf is coming to town?,"Surprise, Excitement, Anticipation"
"Kathy’s with her parents, I have nothing to do, so tomorrow weare partying with Gandolf dude!","Happiness, Excitement, Anticipation"
"Dude, we are","Happiness, Confidence, Excitement"
"Wow! Okay, dude alert! And who is this guy?","Surprise, Disgust, Confusion"
"Mike Gandolf"" Ganderson","Neutral, Confusion, Frustration"
I’m gonna call and get off work tomorrow!,"Excitement, Anticipation, Optimism"
I’m gonna call after you!,"Confidence, Excitement, Anticipation"
"This is gonna be soo cool, dude, we never party anymore!","Excitement, Anticipation, Longing"
Woooo!!!,"Happiness, Surprise, Excitement"
"All right, were you guys smoking something in the back of our van?","Anger, Confusion, Frustration"
"Really. And what do you mean you never have fun anymore? You have fun withme, remember that time we saw those strippers and you paid me 50 bucks to eat that book?","Happiness, Excitement, Nostalgia"
"Joey, you are gonna love this guy. Gandolf is like the party wizard!","Happiness, Confidence, Excitement"
"Well, why do you call him Gandolf?","Neutral, Confusion, Frustration"
Gandolf the wizard. (Joey is still confused) Hello! Didn’t you read,"Surprise, Confusion, Frustration"
"No, I had sex in high school.","Contentment, Confidence, Nostalgia"
"Oh, uh, Joanna I was wondering if I could ask you something.There’s an opening for an assistant buyer in Junior Miss…",Excitement
"(interrupting) Okay, but that would actually be a big step down for me.",Frustration
"Well, actually, I meant for me. The hiring committee is meeting peopleall day and…","Confidence, Neutral, Anticipation"
"Oh. Well, I wish I could say no, but you can’t stay my assistantforever. Neither can you Sophie, but for different reasons.","Neutral, Sadness, Frustration"
"God, I am so glad you don’t have a problem with this, because ifyou did, I wouldn’t even",Happiness
"Really? Well, in that case…","Confidence, Surprise, Excitement"
(interrupting) And that’s I’m so glad… there’s noproblem.,"Happiness, Contentment, Confidence"
"That’s fine, actually I’m on the hiring committee, sothere’ll be at least one friendly face.","Confidence, Excitement, Optimism"
Ohh! That’s great!,"Happiness, Surprise, Excitement"
"You know, Junior Miss is where I started. Oh, I had to sleep with the","Disgust, Nostalgia"
Really?!,"Surprise, Excitement, Anticipation"
"No-ho-ho! (pause) Yeah. (pause) I mean, no-no-no-no-no, don’t youworry, I’m sure with your qualifications you won’t need to sleep with some guyto get that job. Although, I might need some convincing.","Anger, Surprise, Confusion"
"Well, I, umm…","Neutral, Confusion, Frustration"
"Kidding! God, I feel wild today!","Happiness, Confidence, Excitement"
Oh man! I am so excited—I may vomit!,"Disgust, Excitement, Anticipation"
"Will you calm down, he’s just a human guy.","Neutral, Frustration"
"Look you don’t understand, Gandolf is amazing. Y’knowyou’re never know what’s gonna end up happening, you go out for a couple ofbeers and end up on a fishing boat to Nova Scotia!","Excitement, Anticipation, Optimism"
Really?!,"Surprise, Excitement, Anticipation"
"Oh yeah, it’s beautiful country up there.","Happiness, Contentment, Love"
"(entering) Hey! Okay! I got my passport, fresh socks, and a snake bitekit!","Confidence, Excitement, Anticipation"
It’s not gonna be,"Neutral, Confusion, Frustration"
"All right, I’ll see you guys.","Contentment, Neutral, Optimism"
Whoa-whoa-whoa!,"Fear, Surprise, Excitement"
Whoa-wh-wh-whoa-whoa-whoa-whoa!,"Surprise, Excitement, Confusion"
"I have an audition, but I’ll definitely hook up with you later. Whereare you gonna be around noon?","Confidence, Excitement, Anticipation"
Somewhere maybe along the equator?,"Neutral, Anticipation, Confusion"
Okay. (leaves as the phone rings),"Neutral, Anticipation, Frustration"
"(answering it) Hello. (listens) (to Ross) It’s Gandolf!!! (onphone) So, are you in town? (listens) (disappointed) Oh, well, well maybe next time then.(Hangs up)","Sadness, Anticipation"
What happened?,"Surprise, Confusion, Optimism"
"He’s not gonna make it, he’s stuck in Chicago.","Sadness, Fear, Frustration"
"Ohh, man! Chicago, is sooo lucky!","Happiness, Excitement"
"Stupid, useless Canadian money!","Anger, Disgust, Frustration"
"You have a very impressive resume, Ms. Green. I especially like whatI see here about implementing a new filing system.","Contentment, Confidence, Excitement"
Thank you.,"Happiness, Contentment, Neutral"
Filing system? Oh-oh! You mean those-those little colored labels you puton all the folders? (to the committee) It certainly did brighten up the inside of thefiling cabinets.,"Happiness, Contentment, Excitement"
"Well, they uh, they-they do more than that.","Disgust, Confusion, Frustration"
I notice that you’ve been trusted with a lot of ratherimportant responsibilities.,"Contentment, Confidence, Optimism"
"Yes, Joanna really has been an incredible mentor to me.",Happiness
Oh. And Rachel has been really incredible in getting my morning bagelfor me. It’s amazing how she gets it right almost,Contentment
"I-I-I of course, I have more responsibilities than that.","Confidence, Frustration, Longing"
"Oh yes, well there’s the coffee too. (to the committee) Rachel cancarry two things at once!","Happiness, Confidence, Excitement"
"Yes, that’s very good. Now a uh, big part of this job iscultivating personal relationships, especially with designers.","Confidence, Excitement, Anticipation"
"Yes, I realize that…","Neutral, Confusion, Frustration"
"(interrupting) And Rachel shouldn’t have any problem with that. Theonly problem might be getting a little too friendly, if you know what I mean.","Confidence, Excitement, Anticipation"
I love working with designers!,"Happiness, Love, Excitement"
"With them, under them, what’s the difference? Eh, Rach?","Neutral, Confusion, Frustration"
Hey! My first review is out!,"Happiness, Excitement, Anticipation"
"Ohh! Oh, the Chelsea Reporter, ohh, this used to keep me so warm.","Happiness, Contentment, Nostalgia"
"All right, look at my on the back page.","Confidence, Excitement, Anticipation"
"Oh, okay! (reading) Would I go back to Allesandro’s? Sure","Happiness, Confidence, Excitement"
"Hey, they don’t pay me a penny a word to make friends.","Confidence, Frustration"
"Ooh, I gotta go. I found a guy that who could fix up the van forcatering.","Excitement, Anticipation, Optimism"
Oh! Do you need me to go with you?,"Happiness, Excitement, Anticipation"
"No-no, it’s okay. But are we sure we don’t want the waterbed?","Happiness, Confidence, Excitement"
Haven’t we made this decision?,"Confidence, Confusion, Frustration"
"Yeah, all right. (starts to leave)","Contentment, Neutral, Frustration"
Bye!,"Happiness, Contentment, Excitement"
Bye!,"Happiness, Contentment, Excitement"
(answering it) Who is it?,"Neutral, Surprise, Anticipation"
"It’s Allesandro, from Allesandro’s.","Contentment, Confidence, Excitement"
Oh my God.,"Fear, Surprise, Excitement"
I want to talk to you about your review.,"Neutral, Confusion, Frustration"
"Oh my God, oh my God. (on intercom) Call me on the phone!","Fear, Surprise"
Why? So you could hang up on me?,"Anger, Disgust, Frustration"
"Look, I-I’m never gonna let you up so you may as well just go away.","Sadness, Anger, Frustration"
Just give me a chance too…,"Confidence, Longing, Optimism"
"(on intercom) Hey, do you need to get in? Here you go.","Confidence, Neutral"
No! Phoebe!,"Sadness, Anger, Fear"
"Hey, Monica!","Happiness, Excitement, Anticipation"
(entering) I want a retraction! Our food is,"Anger, Disgust, Frustration"
"I couldn’t eat it! I had five friends who couldn’t eat it, andone of them eats books.","Disgust, Confusion, Frustration"
Well our service is not grossly incompetent.,"Confidence, Neutral, Frustration"
The waiter carried the breadsticks in his pants!,"Surprise, Disgust, Confusion"
"Well, you said that we except the","Neutral, Confusion, Frustration"
"All right, that I’ll retract. But I stand by my review, I know foodand that wasn’t it. You’re marinara sauce tasted like tomato juice! You shouldserve it with vodka and a piece of celery.","Anger, Disgust, Frustration"
"Hey! I’m proud of that sauce, it’s delicious.","Happiness, Contentment, Confidence"
Oh my God! You own an Italian restaurant and you think that tastesgood?! Where are you even from?,"Anger, Surprise, Disgust"
(shyly) Lebanon.,Nostalgia
"Hand me those tomatoes, I’m gonna show you what it should tastelike! Come on, hand me them.","Confidence, Excitement, Anticipation"
How long is this gonna take? ‘Cause I got another critic to goyell at.,"Confidence, Frustration"
"(entering Joanna’s office) Umm, Joanna? I wanna talk about thatinterview.",Neutral
I thought it went very well.,"Happiness, Confidence"
"No! It didn’t! That’s what I want to talk to you about.(starts to break up) Now, just to brief you… (starts to cry) I may cry, but they arenot tears of sadness or of anger, but just of me having this discussion with you.","Sadness, Confusion, Frustration"
"Rachel, please, don’t make a scene.","Confidence, Neutral, Frustration"
There’s nobody here!,"Neutral, Surprise, Anticipation"
"Sophie, get in here! (Sophie enters) You see! Now you’re makingSophie uncomfortable!","Anger, Confusion, Frustration"
She’s not making me uncomfortable.,Neutral
Congratulations! You now just crossed the line into completely useless.Get out. (Sophie starts to cry and leaves),"Sadness, Anger, Frustration"
Do you want me to quit?,Frustration
What?! What would make you think that?,"Surprise, Confusion, Frustration"
"Well of those things that you said in the interview, I mean if youbelieve any of them, I must not be a very good assistant. Y’know what?","Confusion, Frustration"
"Wait-wait-wait-wait! You can put your sad little muffin back init’s drawer. If you must know the truth, I didn’t want to lose a perfectly goodassistant.","Confidence, Disgust, Frustration"
What?,"Surprise, Confusion, Frustration"
That’s why I said all those things about your flirting and yourdrinking…,"Sadness, Anger, Frustration"
My drinking?,"Anger, Confusion, Frustration"
"Oh, I must’ve said that after you left.","Surprise, Confusion, Frustration"
Said what? Exactly.,"Confidence, Neutral, Confusion"
That you enjoyed the occasional drink…ing binge.,"Contentment, Neutral, Nostalgia"
"Oh my God!! Ohh, that is it! I’m leaving! You are just a horribleperson!","Anger, Disgust, Frustration"
"Wait-wait-wait-wait-wait-wait-wait-wait!! If you’re gonna get allsensitive about it! I don’t want to lose you. What if I, create a position for you?I’ll make you an assistant buyer in this department.","Excitement, Anticipation, Frustration"
Say more things like that.,"Happiness, Contentment, Confidence"
"You can have your own office, and a raise! Effective tomorrow.","Happiness, Excitement, Optimism"
I’d need an expense account.,"Confidence, Neutral, Excitement"
Done!,"Confidence, Excitement"
And an assistant.,"Confidence, Excitement, Anticipation"
"Sophie, get in here! (Sophie peeks in around the corner)","Surprise, Anticipation, Confusion"
Hey! What are you guys doing here? I thought you’d be out partyingwith Gandel-worf.,"Surprise, Confusion, Frustration"
"It’s Gandolf, and he’s not coming.","Sadness, Frustration"
So you’ve been sittin’ around here all mornin’?,"Neutral, Confusion, Frustration"
No! I balanced my checkbook.,"Contentment, Confidence, Frustration"
"Yeah, and I-I gave first names to all of the foosball players.","Happiness, Contentment, Excitement"
I can’t believe he didn’t come!,"Sadness, Frustration"
So what if he didn’t come! We can still go out and party ourselves!,"Happiness, Confidence, Excitement"
"Oh-no, y’know with Gandolf we’d be","Disgust, Confusion, Frustration"
"Yeah! We’d meet, we’d meet total strangers, and hang out withthem!","Happiness, Excitement, Anticipation"
"Well, we could do that!","Happiness, Excitement, Optimism"
There’s other stuff too.,"Contentment, Neutral, Excitement"
"We’ll do it all, and better! Look, after tonight, Gandolf will wantto party with us, dude! Come on!","Confidence, Excitement, Optimism"
Yeah!,"Happiness, Confidence, Excitement"
Yeah!,"Happiness, Confidence, Excitement"
Yeah!!,"Happiness, Excitement, Optimism"
Yeah!!,"Happiness, Excitement, Optimism"
It’s not like we don’t know how to party!!,"Happiness, Confidence, Excitement"
Yeah! All right? Let’s go!,"Happiness, Confidence, Excitement"
And may-maybe we could end up on a boat again?,"Happiness, Excitement, Longing"
Yeah!!!,"Happiness, Excitement, Optimism"
All right!!,"Happiness, Excitement, Optimism"
"(to Chandler) Hey-hey-hey, when uh, when were we on a boat?","Nostalgia, Confusion"
"Remember that really cold morning, you woke up and those dogs werelicking your face?","Happiness, Surprise, Nostalgia"
Yeah.,Neutral
"Well, those were seals, man.","Confidence, Neutral, Disgust"
