Dialogue,Emotions
Hey! Babe! Aren’t you excited we’re going on our honeymoon?,"Affection, Excitement"
Yeah I am!,"Achievement, Satisfaction"
(singing),Joy
That’s right. Get it out of your system while we’re alone.,Frustration
(entering with Phoebe) Hey!,Excitement
Yeah! Have a great honeymoon!,"Enthusiasm, Excitement"
I’d better go pack.,"Overwhelm, Anxiety"
"Oh no, I already packed. The only thing I couldn’t find though wasyour Speedo.",Frustration
"A Speedo? Uh, I don’t have a Speedo. I’m gonna go pack myregular long bathing suit. (Goes into the bedroom.)",Frustration
(entering) Oh good you’re still here!,Excitement
Hey!,Enthusiasm
I want to tell you to have a good honeymoon! (Hugs Monica.),"Affection, Gratitude"
Thank you.,Gratitude
And I also wanted you guys to know that I am telling the father today.(They all look at her expectantly) What? What? What?,"Frustration, Overwhelm"
We know its Ross!,Frustration
How?! How do you know?,Frustration
"It was his sweater, but—Oh my God!",Unknown
"Oh, I so wanted Ross to know first, but I’m so relieved you guysknow.",Relief
This is so great! And I’m gonna be your baby’s aunt!,"Affection, Excitement"
I know! (They hug.),Affection
Me too! (Joins the hug.),"Affection, Gratitude, Love"
I’m gonna be an uncle! Come here! (He joins the hug.),"Affection, Excitement, Joy"
(breaking the hug) You’re all gonna be aunts and uncles.,"Affection, Excitement, Joy"
"Yeah, but I’m the only one related by blood.","Affection, Love"
Okay. Great! So now that you guys all know you can help me. Give me someadvice on how I’m gonna tell Ross!,"Excitement, Anticipation"
"Well, what were you gonna say?",Frustration
Well I was gonna tell him that I’m-I’m gonna have the baby andhe can be as involved as he wants.,"Stress, Frustration, Overwhelm, Love"
"Well that, that sounds good.","Satisfaction, Contentment"
"Yeah but how do I start? I mean, what’s-what’s the first thingthat I say? (They all pause to think.) Okay great! Thanks. (She starts to leave.)","Frustration, Satisfaction"
Hey! Good luck!,Enthusiasm
"Yeah, bye.","Frustration, Boredom"
Bye.,Unknown
"(entering) Hey, what was that all about?",Curiosity
"Well I guess there is no harm in telling you now, Rachel and Ross aregonna have a baby.","Excitement, Joy"
(in a high pitched voice) What?! I didn’t even know that—Whydidn’t you tell me?! (Pause) Why am I talking like this?!,"Frustration, Confusion"
I didn’t think you could keep it a secret.,Frustration
(in the high pitched voice) What?! (Normal voice) I am an excellentsecret keeper. I have kept all of our secrets.,"Frustration, Satisfaction"
What secrets?,Frustration
"Oh no-no Joey, I am not going to tell you because I am an excellentsecret keeper.","Frustration, Satisfaction"
(whispering to Chandler) You’ll tell me later?,Anxiety
You already know.,Frustration
"Oh, it's so romantic to send people off on their honeymoon.","Affection, Love"
"Y’know, Monica and Chandler are married. Ross and Rachel are having ababy. Maybe you and I should do something.",Excitement
All in good time my love. All in good time. Oh shoot! I left my guitarin their apartment. Well you can let me in later.,"Frustration, Affection, Love"
"I don’t have a key, they took mine to give to you.",Frustration
What?! They took mine to give to you!,"Frustration, Jealousy"
Why would they take away our keys?,Frustration
Maybe they don’t trust us.,Unknown
No that’s not it. They let me keep my key the last time they were outof town.,"Frustration, Satisfaction"
You mean the time you broke the ketchup bottle and cleaned it up withMonica’s guest towels?,Frustration
"Hey, I washed those!",Frustration
No you didn’t.,Frustration
Yeah that didn’t sound like me.,Frustration
"Well, what am I gonna do? I really need my guitar!","Frustration, Gratitude, Anxiety"
"Yeah, I have stuff in there too.","Achievement, Satisfaction"
What stuff?,Frustration
"Monica’s chicken parm! I’ll take care of it. (He picks up thephone) Hey Mr. Treeger, it’s Joey Tribbiani. Listen, I need to get into Monica andChandler’s apartment. It’s an emergency. (Listens) Uhh, gas leak! Yeah oh, andbring garlic bread. (Hangs up.)","Stress, Overwhelm, Excitement"
