Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pheebs whats wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
my god,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
well it was,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whoo,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
mmhmmh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
its yes my little black book its got the numbers of all the guys ive dated,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
oh pheebs baby thats nice but you know what i think im ok why dont you give it to one of your other single girlfriends,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
i would but youre the last one,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
oh my first love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
what does the red x next to bob greenmores name mean,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
hey im sorry i should have given you guys my black book when i got married although it wasnt so much a book as a napkin with janices phone number on it,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
phoebe isnt jethro tull a band,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
is monica not here,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
no,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
oh then ill tell you my agency was bidding for a big account and they,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cool,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
thats great hey can you cast me in it,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
oh i dont know i really dont think youre right for the part,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
first of all bravo uh but i really dont think youre right for this the part calls for a stuffy college professor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
software that facilitates interbusiness networking esolutions,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
guess whos a finalist for a,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ah well unless its the creepy guy with his hand up his kilt im gonna say congratulations,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
oh im so excited i mean apparently i beat out hundreds of other applicants included five guys i went to graduate school with not that im keeping score or anything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
wow thats great so tell me about the grant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
well ok its for 25 thousand dollars and if i get it ill finally be able to complete my field research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wait are you talking about the dewar grant,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
yeah why,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
benjamin hobart is administering that grant,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
your exboyfriend,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
so your exboyfriend is gonna determine if your new boyfriend gets this grant wow your new boyfriend is screwed,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
no no we ended up in great terms i mean if anything i think this could help you you know what why dont we all go out to dinner together and i can introduce you,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
well if you think it would help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yes absolutely ill call him,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ok now is there anything i can do to you know butter him up anything he really likes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
mmh he does have a pretty serious latex fetish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
well see how dinner goes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hey you wanna go to see a movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
well i told you i had to spend all the day clearing out stuff so mike could move in,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh right,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
oh well now that im here i might as well help you with the cleaning and organizing just happen to have my label maker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
oh its,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
uh chandler did what does he want,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
yeah i really,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
why you dont like her,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
well of course i do whats not to like ill take her in a minute but you know i think that youre giving up too easy honey i think that you need to fight for her,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
really you think,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
absolutely yes you say to him im sorry mike i cant live without her,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ok ill fight for her ok oh wait oh i just realized if i do that that means you dont get her,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
damn it i did,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
hey you guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh any word on casting yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
joe i told you youre just not right for the part,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
what do you mean rach dont i seem like a professor youd buy some kind of ecrap from,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
im sorry this sounds like something im never gonna be interested in,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
joe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
just watch it and if you dont like it you dont pass it on to your bosses,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
work joe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
just pass it to your boss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
