Song Name,Artists,Artist_ID,Track_ID
Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0VjIjW4GlUZAMYd2vXMi3b
Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,2b8fOow8UzyDFAE27YhOZM
SAD!,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,3ee8Jmje8o58CHK66QrVC2
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",2tIP7SsRs7vjIcLrU85W8J,5HCyWlXZPP0y6Gqq8TgA20
Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,7qEHsqek33rTcFNT9PFqLf
drivers license,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,7lPN2DXiMsVn7XUKtOW1CS
Let Me Down Slowly,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,2qxmye6gAegTMjLKEBoR3d
Never Be the Same,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,4eWQlBRaTjPPUlzacqEeoQ
goosebumps,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,6gBFPUFcJLzWGx4lenP6h2
Him & I,"G-Eazy, Halsey",02kJSzxNuaWGqwubyUba0Z,3YU6vJbjYUG0tiJyXf9x5V
Nonstop,Drake,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",56mfhUDKa1vec6rSLZV5Eg,1xQ6trAsedVPCdbtDAmk0c
7 rings,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,6ocbgoVGwYJhOv1GgI9NsF
Happier,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2RttW7RAu5nOAfq6YFvApB
Calm Down,Rema,46pWGuE3dSwY3bMMXGBvVS,6hgoYQDUcPyCz7LcTUHKxa
lovely (with Khalid),"Billie Eilish, Khalid",6qqNVTkY8uBg9cP3Jd7DAH,0u2P5u6lvoDfwTYjAADbn4
Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp
